id,ten,gia,hinh,link,noidung,idLoaiHang
11,Bàn Ủi Hơi Nước Đứng Philips GC487/89 - Hàng Chính Hãng,2313600,1a81d55341f571c1349a65dfe78702bd.jpg,/ban-ui-hoi-nuoc-dung-philips-gc487-89-hang-chinh-hang-p58065295.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>8752526865992</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Chất liệu</td><td>Nhựa</td></tr><tr><td>Dung tích</td><td>Dung tích ngăn chứa nước: 1,4L</td></tr><tr><td>Công suất</td><td>1800W</td></tr><tr><td>Trọng lượng</td><td>4,8 Kg</td></tr><tr><td>Quy cách đóng gói</td><td>full box</td></tr></tbody></table></div>",1
12,Bàn Ủi Hơi Nước không dây Bluestone SIB-3854 (2400W) - Hàng chính hãng,399000,f4c52053d220e94a047410420eaf9faf.png,/ban-ui-hoi-nuoc-khong-day-bluestone-sib-3854-2400w-hang-chinh-hang-p8073003.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Bluestone</td></tr><tr><td>SKU</td><td>2972304477995</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Chất liệu</td><td><p>Chất liệu mặt đế: Ceramic</p></td></tr><tr><td>Dung tích</td><td>360ml</td></tr><tr><td>Công suất</td><td>2000W - 2400W</td></tr><tr><td>Dung tích bình chứa nước</td><td>360ml</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Mặt đế</td><td>Ceramic</td></tr></tbody></table></div>",1
13,Bàn Ủi Hơi Nước Đứng Bluestone GSB-3911 (1800W) - Hàng Chính Hãng,999000,f4c52053d220e94a047410420eaf9faf.png,/ban-ui-hoi-nuoc-dung-bluestone-gsb-3911-1800w-hang-chinh-hang-p41167735.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Bluestone</td></tr><tr><td>SKU</td><td>2609773836274</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Singapore</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>SIB-3911</td></tr><tr><td>Chất liệu</td><td><p>Nhựa</p></td></tr><tr><td>Công suất</td><td>1800W</td></tr><tr><td>Dung tích bình chứa nước</td><td>1.6L</td></tr><tr><td>Loại bàn ủi </td><td>Hơi Nước Đứng</td></tr><tr><td>Trọng lượng</td><td>5,2kg</td></tr><tr><td>Kích thước</td><td><ul>
<li>33 x 40.5 x 31.5 (cm)</li>
<li>Chiều dài dây điện: 1.5m</li>
</ul></td></tr><tr><td>Quy cách đóng gói</td><td>1 sản phẩm/Thùng</td></tr></tbody></table></div>",1
14,Bàn ủi hơi nước Philips GC1756 - Hàng chính hãng,768400,90b5a43ee65fad0fdd804b6189d43968.jpg,/ban-ui-hoi-nuoc-philips-gc1756-hang-chinh-hang-p51227503.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1479328005391</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>GC1756</td></tr><tr><td>Chất liệu</td><td>Nhựa</td></tr><tr><td>Dung tích</td><td>220ml</td></tr><tr><td>Điện áp</td><td>220V - 50Hz</td></tr><tr><td>Công suất</td><td>2000W</td></tr><tr><td>Dung tích bình chứa nước</td><td>220ml</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Mặt đế</td><td>Mặt đế bằng gốm chống dính</td></tr><tr><td>Trọng lượng</td><td>1.08kg</td></tr><tr><td>Kích thước</td><td>129x290x156mm</td></tr><tr><td>Quy cách đóng gói</td><td>06 cái/thùng</td></tr></tbody></table></div>",1
15,Bàn Ủi Hơi Nước Đứng Philips GC482 - Hàng Chính Hãng,1529000,f60b55d4f26f17a8b37cd887e9409cec.jpg,/ban-ui-hoi-nuoc-dung-philips-gc482-hang-chinh-hang-p46134873.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>4335139030373</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>Philips GC482</td></tr><tr><td>Chất liệu</td><td><p>Nhựa</p></td></tr><tr><td>Dung tích</td><td> 1400 Chiều dài dây điện 1,6  mml</td></tr><tr><td>Điện áp</td><td>220V - 50Hz</td></tr><tr><td>Công suất</td><td> 1600W</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Trọng lượng</td><td>330g</td></tr><tr><td>Kích thước</td><td><p>30.9 x 27.7 x 31.5 cm</p></td></tr></tbody></table></div>",1
16,Bàn Ủi Khô Philips GC160 - Hàng chính hãng,401600,ban-ui-kho-philips-gc160_2_1.jpg,/ban-ui-kho-philips-gc160-hang-chinh-hang-p392083.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>1638533764503</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Kích thước</td><td>27.7 x 12 x 14.4 cm</td></tr></tbody></table></div>",1
17,Bàn là hơi nước cầm tay gấp gọn,313000,3cf283ae5fbdefc9993bf2a68dfcd89c.jpg,/ban-la-hoi-nuoc-cam-tay-gap-gon-p35035538.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>OEM</td></tr><tr><td>SKU</td><td>1257492706111</td></tr></tbody></table></div>",1
18,Bàn Ủi Hơi Nước Nagakawa NAG1505 - Hàng Chính Hãng,269000,afd283c6d335bcd8c6cb5b1a26821954.jpg,/ban-ui-hoi-nuoc-nagakawa-nag1505-hang-chinh-hang-p22095583.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Nagakawa</td></tr><tr><td>SKU</td><td>9165458164221</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>NAG1505</td></tr><tr><td>Chất liệu</td><td>Tay cầm bằng nhựa cách nhiệt màu trắng, đế bàn là được phủ lớp chống dính teflon cao cấp</td></tr><tr><td>Dung tích</td><td>280 ml</td></tr><tr><td>Công suất</td><td>1200W</td></tr><tr><td>Trọng lượng</td><td>1.2kg</td></tr><tr><td>Kích thước</td><td>307 x 124 x 158 mm</td></tr></tbody></table></div>",1
19,Bàn Ủi Khô Sunhouse SHD1072 - Hồng - Hàng chính hãng,149000,b68346d0979b6d22a578f88b9d19c2b3.jpg,/ba-n-ui-kho-sunhouse-shd1072-hong-hang-chinh-hang-p1908441.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Sunhouse</td></tr><tr><td>SKU</td><td>7998944330693</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>SHD1072</td></tr><tr><td>Chất liệu</td><td><p>Đế chống dính</p></td></tr><tr><td>Công suất</td><td>1000W</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi khô</td></tr><tr><td>Mặt đế</td><td>Chống dính</td></tr><tr><td>Trọng lượng</td><td>1kg</td></tr><tr><td>Kích thước</td><td><p>257 x 120 x 120 cm (D x R x C)</p></td></tr></tbody></table></div>",1
20,Bàn Là Hơi Nước Cầm Tay Gấp Gọn Tặng Bao Tay Chống Nóng,308000,9f63df78da8d21905c410c08f9e7aae6.jpg,/ban-la-hoi-nuoc-cam-tay-gap-gon-tang-bao-tay-chong-nong-p51101056.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>OEM</td></tr><tr><td>SKU</td><td>3100381917861</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hong Kong</td></tr><tr><td>Model</td><td>SK3060</td></tr><tr><td>Dung tích</td><td>130ml</td></tr><tr><td>Điện áp</td><td>220V</td></tr><tr><td>Công suất</td><td>1500W</td></tr><tr><td>Loại bàn ủi </td><td>Hơi Nước Cầm Tay</td></tr><tr><td>Hướng dẫn sử dụng</td><td><p>HƯỚNG DẪN SỬ DỤNG BÀN LÀ HƠI NƯỚC SOKANY CẦM TAY:</p>
<p>- Đổ nước vào bình chứa. Lắp vào máy.</p>
<p>- Cắm điện và chờ trong 20 giây, khi cắm điện kiểm tra đèn báo, nếu có đèn báo là bình thường.</p>
<p>- Sau đó đợi vài giây, đèn báo sẽ ngắt, và sau 1 phút, độ nóng của bàn là đã đạt, tiến hành sử dụng.</p>
<p>- Sau 30 giây , khi hơi bắt đầu mạnh dần, bấm vào nút để hơi nước tỏa ra mạnh mẽ hơn.</p>
<p>- Là lướt lên trên mặt vải, nhấn nút để bổ sung thêm hơi nóng cho bàn là rồi là đi là lại đến khi thẳng mặt vải và khô thoáng như lúc đầu là được.</p></td></tr><tr><td>Hướng dẫn bảo quản</td><td><p>CÁCH BẢO QUẢN BÀN ỦI HƠI NƯỚC SOKANY SK-3060 TỐT NHẤT:</p>
<p>- Thường xuyên vệ sinh rửa sạch bình khoang chứa nước và tạo hơi, làm vệ sinh khoang chứa nước và tạo hơi của bàn là theo định kỳ để tránh hình thành các loại cặn khoáng cáu bẩn do nước để lại tồn đọng ở bên trong.</p>
<p>- Không sử dụng các hóa chất khác dùng cho vệ sinh như: muối, nước hoa, chất tẩy trắng, những chất tẩy gia này sẽ làm tắc, làm ăn mòn các bộ phận cấu tạo bên trong bàn ủi.</p>
<p>- Lưu ý: khi không sử dụng, nên lấy hết nước ra ngoài để sản phẩm giữ được độ bền cao nhất và tránh bị oxi hóa. Để nguội hẳn sản phẩm rồi mới đem đi cất, tránh môi trường ẩm mốc, nhiệt độ cao.</p>
<p>- Đặc biệt để xa tầm tay của trẻ em.</p></td></tr><tr><td>Trọng lượng</td><td>1000  gram</td></tr></tbody></table></div>",1
21,Bàn ủi hơi nước PHILIPS GC2998 (Hàng Nhập Khẩu),1050000,2a25ae5f7b8ddab4363ca5ba9a8bd6f8.jpg,/ban-ui-hoi-nuoc-philips-gc2998-hang-nhap-khau-p13441767.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Philips</td></tr><tr><td>SKU</td><td>2680803353046</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Hà Lan</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr></tbody></table></div>",1
22,Bàn Ủi Hơi Nước Sunhouse SHD2063P (1600W) – Hàng Chính Hãng,189000,8d0f27b30d5acb6dcfbdf1b71d8737d1.jpg,/ban-ui-hoi-nuoc-sunhouse-shd2063p-1600w-hang-chinh-hang-p20366631.html,"<div class=""content has-table""><table><tbody><tr><td>Thương hiệu</td><td>Sunhouse</td></tr><tr><td>SKU</td><td>2599875951114</td></tr><tr><td>Xuất xứ thương hiệu</td><td>Việt Nam</td></tr><tr><td>Xuất xứ</td><td>Trung Quốc</td></tr><tr><td>Model</td><td>SHD2063P</td></tr><tr><td>Điện áp</td><td>220V - 50Hz</td></tr><tr><td>Công suất</td><td>1600W</td></tr><tr><td>Loại bàn ủi </td><td>Bàn ủi hơi nước</td></tr><tr><td>Mặt đế</td><td>Chống dính, đế lỗ phun hơi</td></tr><tr><td>Trọng lượng</td><td>0.67kg</td></tr><tr><td>Kích thước</td><td><p>250 x 100 x 145 mm</p></td></tr></tbody></table></div>",1
